                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.0162,                0.84493,                 1.1241,                0.82558,                0.83991,                0.88858,                0.67087,                 0.8935,                0.65463,                 1.0577,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     90,                 1.0471,                0.88202,                 1.1391,                0.87543,                0.83346,                0.89186,                0.68265,                0.90559,                0.65863,                 1.0611,             8.4442e-05,             8.4442e-05,             8.4442e-05
                     91,                 1.0214,                0.88954,                 1.1724,                0.85701,                0.82423,                0.89115,                 0.6694,                0.91017,                0.66292,                 1.0637,              8.405e-05,              8.405e-05,              8.405e-05
                     92,                0.99165,                0.86102,                 1.1563,                0.83582,                0.84333,                0.89171,                0.67873,                0.90634,                0.65725,                 1.0622,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     93,                0.99795,                0.86029,                  1.166,                0.86297,                0.82691,                0.89757,                0.68434,                0.90117,                0.64304,                 1.0567,             8.3264e-05,             8.3264e-05,             8.3264e-05
                     94,                0.98408,                0.82429,                 1.1289,                0.85368,                0.82389,                0.89589,                0.67728,                0.89617,                0.64321,                 1.0573,             8.2872e-05,             8.2872e-05,             8.2872e-05
                     95,                0.97143,                0.83789,                 1.1663,                0.83852,                0.83877,                0.89714,                 0.6856,                 0.8864,                0.64244,                  1.051,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     96,                 1.0075,                 0.8633,                 1.1493,                0.86887,                0.83178,                0.90111,                0.68861,                0.88535,                0.64842,                 1.0487,             8.2086e-05,             8.2086e-05,             8.2086e-05
                     97,                0.98034,                 0.8071,                 1.1254,                0.86477,                0.80835,                0.89546,                0.67627,                 0.8886,                0.64763,                 1.0535,             8.1693e-05,             8.1693e-05,             8.1693e-05
                     98,                 1.0365,                0.84695,                 1.1505,                0.90739,                0.79684,                  0.893,                0.69026,                0.88619,                0.65207,                 1.0483,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     99,                0.96731,                0.81008,                 1.1349,                0.87443,                0.81558,                0.89432,                0.68877,                 0.8788,                0.63843,                 1.0466,             8.0908e-05,             8.0908e-05,             8.0908e-05
                    100,                 1.0371,                 0.8605,                 1.1479,                0.88004,                0.82935,                 0.8982,                0.68944,                0.88053,                0.63962,                 1.0479,             8.0515e-05,             8.0515e-05,             8.0515e-05
                    101,                 1.0179,                0.84695,                 1.1447,                0.88384,                0.82156,                0.89871,                0.68281,                0.88184,                0.63916,                 1.0524,             8.0123e-05,             8.0123e-05,             8.0123e-05
                    102,                 1.0033,                 0.8234,                 1.1286,                0.85995,                0.84323,                0.90059,                0.68928,                0.87058,                0.63632,                 1.0403,              7.973e-05,              7.973e-05,              7.973e-05
                    103,                0.97738,                  0.828,                 1.1188,                0.87908,                 0.8214,                0.89705,                0.68668,                0.87857,                0.64415,                  1.049,             7.9337e-05,             7.9337e-05,             7.9337e-05
                    104,                0.98699,                0.87013,                 1.1406,                0.86761,                0.82928,                0.90173,                0.68412,                0.87887,                0.64332,                 1.0454,             7.8945e-05,             7.8945e-05,             7.8945e-05
                    105,                0.98357,                0.82998,                 1.1303,                0.85043,                0.82074,                0.89257,                0.68468,                0.88806,                0.64478,                 1.0503,             7.8552e-05,             7.8552e-05,             7.8552e-05
                    106,                0.96656,                0.81443,                 1.1125,                0.87273,                0.81866,                0.90162,                0.68583,                0.87922,                0.64639,                 1.0447,             7.8159e-05,             7.8159e-05,             7.8159e-05
                    107,                0.98696,                0.81645,                 1.1386,                0.84282,                 0.8288,                 0.8938,                0.68694,                0.86896,                0.64021,                 1.0425,             7.7766e-05,             7.7766e-05,             7.7766e-05
                    108,                0.99883,                0.84356,                  1.133,                0.87211,                0.83378,                0.90153,                0.68143,                0.87014,                0.63429,                 1.0445,             7.7374e-05,             7.7374e-05,             7.7374e-05
                    109,                0.95252,                0.84098,                 1.1349,                0.89335,                0.79829,                0.89837,                0.69118,                0.87191,                0.63715,                 1.0436,             7.6981e-05,             7.6981e-05,             7.6981e-05
                    110,                 1.0418,                0.84636,                 1.1553,                0.85463,                0.83618,                 0.8979,                0.69004,                0.85957,                0.63633,                 1.0396,             7.6588e-05,             7.6588e-05,             7.6588e-05
                    111,                0.99286,                0.82569,                 1.1232,                 0.8438,                0.84277,                0.89981,                 0.6844,                0.85943,                 0.6348,                 1.0398,             7.6196e-05,             7.6196e-05,             7.6196e-05
                    112,                0.98229,                0.83346,                 1.1346,                0.86134,                0.85078,                0.90316,                0.69131,                0.86595,                0.63858,                  1.042,             7.5803e-05,             7.5803e-05,             7.5803e-05
                    113,                0.95648,                 0.8037,                 1.1147,                0.87623,                0.83533,                0.91087,                0.70201,                0.86169,                0.64264,                 1.0423,              7.541e-05,              7.541e-05,              7.541e-05
                    114,                0.98293,                0.82187,                 1.1341,                0.88245,                0.82461,                0.90359,                0.70098,                0.85723,                0.63689,                 1.0381,             7.5018e-05,             7.5018e-05,             7.5018e-05
                    115,                 1.0134,                0.83922,                 1.1585,                0.87009,                0.84492,                 0.9091,                0.69574,                0.86242,                0.63825,                 1.0401,             7.4625e-05,             7.4625e-05,             7.4625e-05
                    116,                0.98006,                 0.8072,                  1.124,                0.89888,                0.83393,                0.91293,                0.70051,                0.86641,                0.62711,                 1.0405,             7.4232e-05,             7.4232e-05,             7.4232e-05
                    117,                0.97967,                0.80848,                 1.1137,                0.88184,                0.83444,                0.90673,                0.69839,                0.85767,                 0.6218,                 1.0421,              7.384e-05,              7.384e-05,              7.384e-05
                    118,                0.93866,                0.79597,                 1.1197,                0.89994,                0.83684,                0.91123,                0.70504,                0.85209,                0.61799,                 1.0345,             7.3447e-05,             7.3447e-05,             7.3447e-05
                    119,                0.97372,                0.78495,                 1.1211,                0.89465,                0.82685,                 0.9121,                0.70497,                0.86372,                0.62536,                 1.0417,             7.3054e-05,             7.3054e-05,             7.3054e-05
                    120,                0.95758,                0.81371,                 1.1193,                0.90645,                0.83074,                0.91218,                0.71241,                0.85333,                0.61752,                 1.0381,             7.2661e-05,             7.2661e-05,             7.2661e-05
                    121,                0.95404,                0.79321,                 1.1202,                0.90195,                0.82118,                0.91472,                0.71339,                0.85725,                0.61714,                 1.0353,             7.2269e-05,             7.2269e-05,             7.2269e-05
                    122,                0.98308,                0.79135,                 1.1107,                0.90836,                0.82123,                0.91005,                0.69721,                0.85685,                0.61732,                 1.0366,             7.1876e-05,             7.1876e-05,             7.1876e-05
                    123,                0.96584,                0.80359,                 1.1162,                0.88904,                0.82086,                0.91078,                0.70766,                0.83873,                0.61594,                  1.029,             7.1483e-05,             7.1483e-05,             7.1483e-05
                    124,                 1.0103,                0.81723,                 1.1343,                 0.8979,                0.84117,                0.91535,                0.70898,                0.84114,                 0.6188,                 1.0257,             7.1091e-05,             7.1091e-05,             7.1091e-05
                    125,                0.95887,                0.79342,                 1.1273,                0.90985,                0.82335,                0.91261,                 0.7008,                0.84563,                0.61584,                 1.0234,             7.0698e-05,             7.0698e-05,             7.0698e-05
                    126,                0.98149,                 0.8071,                 1.1247,                0.90305,                0.81618,                0.90725,                0.69442,                0.84856,                0.61257,                 1.0251,             7.0305e-05,             7.0305e-05,             7.0305e-05
                    127,                0.99186,                0.82455,                 1.1266,                0.88293,                0.83417,                0.90942,                0.70144,                0.84816,                0.60869,                 1.0284,             6.9912e-05,             6.9912e-05,             6.9912e-05
                    128,                0.98403,                0.83074,                 1.1421,                0.90871,                0.82157,                0.91347,                0.70486,                0.84432,                0.60503,                 1.0252,              6.952e-05,              6.952e-05,              6.952e-05
                    129,                0.97435,                0.79185,                  1.135,                0.85388,                0.86031,                0.91314,                0.71206,                0.84421,                0.59857,                 1.0239,             6.9127e-05,             6.9127e-05,             6.9127e-05
                    130,                0.95303,                0.77566,                 1.1193,                0.91199,                0.82195,                0.91507,                0.70663,                0.84281,                0.60739,                 1.0246,             6.8734e-05,             6.8734e-05,             6.8734e-05
                    131,                0.95518,                0.81966,                 1.1314,                0.86054,                0.85198,                 0.9134,                0.71038,                0.83926,                0.60183,                 1.0209,             6.8342e-05,             6.8342e-05,             6.8342e-05
                    132,                0.93199,                0.79616,                 1.1119,                0.88086,                0.84359,                0.91196,                0.71147,                0.83457,                0.60851,                 1.0239,             6.7949e-05,             6.7949e-05,             6.7949e-05
                    133,                0.98847,                0.83718,                 1.1311,                0.87121,                0.85404,                0.91811,                0.71114,                0.84046,                0.60874,                 1.0237,             6.7556e-05,             6.7556e-05,             6.7556e-05
                    134,                0.96139,                0.80008,                 1.1142,                0.87753,                0.84232,                0.91311,                0.70827,                0.83163,                0.60823,                 1.0183,             6.7164e-05,             6.7164e-05,             6.7164e-05
                    135,                0.97545,                0.82147,                 1.1347,                  0.863,                0.85268,                0.91052,                0.71586,                 0.8253,                0.60144,                 1.0156,             6.6771e-05,             6.6771e-05,             6.6771e-05
